Domain,Sem,Morph,Phon,M+P,All,Ngr,LSTM,ΔNgr,ΔLSTM,Ceil,IrrErr%,Compl,Sev%
MACRO-LEVEL,,,,,,,,,,,,,
Has Suffix,0.602,0.621,0.871,0.876,0.867,0.852,0.735,+0.024*,+0.141***,0.876,12.2,0.421,3.8
Has Mutation,0.562,0.595,0.766,0.769,0.763,0.747,0.399,+0.022*,+0.370***,0.769,8.6,0.524,0.0
3-way,0.402,0.374,0.658,0.683,0.666,0.614,0.238,+0.068***,+0.445***,0.683,17.6,0.462,0.0
MICRO-LEVEL,,,,,,,,,,,,,
Medial A,0.266,0.354,0.527,0.549,0.487,0.490,0.673,+0.059,−0.124**,0.673,7.3,0.324,2.7
Final A,0.214,0.310,0.271,0.333,0.323,0.431,0.458,−0.099,−0.125**,0.458,7.4,0.260,3.3
Final V/W,0.183,0.219,0.401,0.332,0.379,0.273,0.519,+0.059,−0.188*,0.519,2.2,0.204,0.5
Ablaut,0.592,0.629,0.765,0.756,0.738,0.735,0.736,+0.020,+0.020,0.756,10.9,0.520,2.7
Insert C,0.111,0.218,0.307,0.350,0.353,0.399,0.512,−0.049,−0.161*,0.512,4.9,0.245,0.8
Templatic,0.425,0.687,0.819,0.850,0.855,0.793,0.848,+0.057*,+0.002,0.850,0.5,0.025,0.3
8-way,0.172,0.192,0.439,0.469,0.464,0.418,0.086,+0.051**,+0.383***,0.469,27.7,0.500,0.0
